ID,Image,method,edge density,time (ms)
0,airplane_00000.png,Sobel,0.14937420280612246,25.804996490478516
0,airplane_00000.png,Prewitt,0.1492546237244898,2.4008750915527344
0,airplane_00000.png,Canny,0.009267378826530613,12.493371963500977
1,airplane_00001.png,Sobel,0.21382732780612246,0.3616809844970703
1,airplane_00001.png,Prewitt,0.21237244897959184,0.6601810455322266
1,airplane_00001.png,Canny,0.0012755102040816326,0.81634521484375
2,airplane_00002.png,Sobel,0.18281648596938777,0.22149085998535156
2,airplane_00002.png,Prewitt,0.18225845025510204,0.5321502685546875
2,airplane_00002.png,Canny,0.0,0.7843971252441406
3,airplane_00003.png,Sobel,0.23846061862244897,0.40602684020996094
3,airplane_00003.png,Prewitt,0.2374641262755102,0.6265640258789062
3,airplane_00003.png,Canny,0.012854751275510204,0.4055500030517578
4,airplane_00004.png,Sobel,0.10712292729591837,0.4372596740722656
4,airplane_00004.png,Prewitt,0.10736208545918367,1.0461807250976562
4,airplane_00004.png,Canny,0.0029496173469387753,0.4086494445800781
5,airplane_00005.png,Sobel,0.18608498086734693,0.4916191101074219
5,airplane_00005.png,Prewitt,0.18674266581632654,0.9028911590576172
5,airplane_00005.png,Canny,0.0,0.34046173095703125
6,airplane_00006.png,Sobel,0.1302216198979592,0.24700164794921875
6,airplane_00006.png,Prewitt,0.13032126913265307,0.5774497985839844
6,airplane_00006.png,Canny,0.005739795918367347,0.4591941833496094
7,airplane_00007.png,Sobel,0.2877670599489796,0.31685829162597656
7,airplane_00007.png,Prewitt,0.28958067602040816,0.6384849548339844
7,airplane_00007.png,Canny,0.002311862244897959,0.8890628814697266
8,airplane_00008.png,Sobel,0.18377311862244897,0.32210350036621094
8,airplane_00008.png,Prewitt,0.18694196428571427,0.6277561187744141
8,airplane_00008.png,Canny,0.0,0.36454200744628906
9,airplane_00009.png,Sobel,0.19828204719387754,0.7011890411376953
9,airplane_00009.png,Prewitt,0.19860092474489796,0.6847381591796875
9,airplane_00009.png,Canny,0.0,0.33545494079589844
10,airplane_00010.png,Sobel,0.2526705994897959,0.23508071899414062
10,airplane_00010.png,Prewitt,0.2557796556122449,0.5619525909423828
10,airplane_00010.png,Canny,0.0,0.3654956817626953
11,airplane_00011.png,Sobel,0.2692323022959184,0.2880096435546875
11,airplane_00011.png,Prewitt,0.2675183354591837,0.6127357482910156
11,airplane_00011.png,Canny,0.0,0.35572052001953125
12,airplane_00012.png,Sobel,0.28073182397959184,0.2186298370361328
12,airplane_00012.png,Prewitt,0.27939652423469385,0.5338191986083984
12,airplane_00012.png,Canny,0.0,0.22220611572265625
13,airplane_00013.png,Sobel,0.12091438137755102,0.23865699768066406
13,airplane_00013.png,Prewitt,0.11854272959183673,0.5376338958740234
13,airplane_00013.png,Canny,0.0,0.2627372741699219
14,airplane_00014.png,Sobel,0.17121731505102042,0.21505355834960938
14,airplane_00014.png,Prewitt,0.1708984375,0.6823539733886719
14,airplane_00014.png,Canny,0.0012555803571428572,0.40531158447265625
15,airplane_00015.png,Sobel,0.17024075255102042,0.6177425384521484
15,airplane_00015.png,Prewitt,0.17057955994897958,0.6046295166015625
15,airplane_00015.png,Canny,0.0,0.3261566162109375
16,airplane_00016.png,Sobel,0.2541653380102041,0.28705596923828125
16,airplane_00016.png,Prewitt,0.25645727040816324,0.5390644073486328
16,airplane_00016.png,Canny,0.0,0.22554397583007812
