size,method,entropy_mean,psnr_vs_bilinear_mean,mse_vs_bilinear_mean
128x128,bicubic,7.131262605542884,39.21565997636684,8.998757653951644
128x128,bilinear,7.097367129374303,,
128x128,lanczos,7.148673033324029,35.63302518666861,20.768784526586533
128x128,nearest,6.990579827920553,29.19490705786418,90.52437042856216
224x224,bicubic,7.136932985594869,39.421877802021484,8.587791546344757
224x224,bilinear,7.105043178519822,,
224x224,lanczos,7.154470667691501,35.733564010172685,20.30737511098385
224x224,nearest,6.990579827920553,29.02711782433955,94.10156123018265
